canonical_keyword,cluster_key,cluster_label,topical_silo,primary_entity,entity_type,parent_entity,intent,intent_detail,geo_modifier,keyword_count,total_volume,current_ranking_coverage_pct,average_current_position,recommended_page_type,recommended_action,suggested_url
calories in a mocha latte,coffee-mccafe-mocha-latte__nutrition_macros,McCafe Mocha Latte - nutrition macros,McCafe Coffees,McCafe Mocha Latte,product_family,McCafe Coffees,nutrition,nutrition_macros,,2,80,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
mcdonald's caramel macchiato price,coffee-mccafe-caramel-macchiato__price_value,McCafe Caramel Macchiato - price value,McCafe Coffees,McCafe Caramel Macchiato,product_family,McCafe Coffees,commercial,price_value,,2,80,0.0,,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mccafe-menu/
mcdonald's hotcakes meal,bfast-hotcakes__overview_menu,Hotcakes - overview menu,Breakfast,Hotcakes,product_variant,Breakfast Menu,overview,overview_menu,,4,80,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes/
mcdonald's sausage burrito ingredients,bfast-sausage-burrito__nutrition_ingredients,Sausage Burrito - nutrition ingredients,Breakfast,Sausage Burrito,product_variant,Breakfast Menu,nutrition,nutrition_ingredients,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-burrito/
double quarter pounder with cheese meal price,evm-double-quarter-pounder-with-cheese-meal__price_value,Double Quarter Pounder with Cheese Meal - price value,Value & Deals,Double Quarter Pounder with Cheese Meal,product_variant,Extra Value Meals,commercial,price_value,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/double-quarter-pounder-with-cheese-meal/
deluxe mccrispy meal,evm-deluxe-mccrispy-meal__overview_menu,Deluxe McCrispy Meal - overview menu,Value & Deals,Deluxe McCrispy Meal,product_variant,Extra Value Meals,overview,overview_menu,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/deluxe-mccrispy-meal/
is mcdonald's hot fudge sundae gluten free,sweets-hot-fudge-sundae__nutrition_allergens,Hot Fudge Sundae - nutrition allergens,Sweets & Treats,Hot Fudge Sundae,product_variant,Sweets & Treats,nutrition,nutrition_allergens,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/
spicy mccrispy meal,evm-spicy-mccrispy-meal__overview_menu,Spicy McCrispy Meal - overview menu,Value & Deals,Spicy McCrispy Meal,product_variant,Extra Value Meals,overview,overview_menu,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/spicy-mccrispy-meal/
how much caffeine in mcdonalds iced coffee medium,coffee-mccafe-iced-coffee-medium__nutrition_caffeine,McCafe Iced Coffee Medium - nutrition caffeine,McCafe Coffees,McCafe Iced Coffee Medium,product_variant,McCafe Iced Coffee,nutrition,nutrition_caffeine,,1,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-medium/
10 piece chicken mcnuggets meal,nuggets-10-pc-chicken-mcnuggets__overview_menu,10 pc Chicken McNuggets - overview menu,McNuggets & Strips,10 pc Chicken McNuggets,product_variant,Chicken McNuggets,overview,overview_menu,,2,70,0.0,,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/mcnuggets-strips/10-pc-chicken-mcnuggets/
