topical_silo,primary_entity,entity_type,parent_entity,cluster_count,keyword_count,total_volume,dominant_page_type,suggested_url,intent_mix
Beverages,Mango Pineapple Smoothie,product_family,Beverages & Drinks,4,19,1770,family_section,https://mcdomenuusa.com/beverage-menu/,nutrition_ingredients | nutrition_macros | overview_general | price_value
Chicken & Fish,Deluxe McCrispy,product_variant,Chicken & Fish Menu,2,5,1730,item,https://mcdomenuusa.com/menu/chicken-fish/deluxe-mccrispy/,overview_general | price_value
Sweets & Treats,Strawberry Shake,product_family,Sweets & Treats,3,12,1590,family_section,https://mcdomenuusa.com/sweets-treats/,nutrition_macros | overview_general | price_value
Sweets & Treats,Vanilla Shake,product_family,Sweets & Treats,2,10,1570,family_section,https://mcdomenuusa.com/sweets-treats/,overview_general | price_value
McCafe Coffees,McCafe Iced Caramel Macchiato,product_family,McCafe Coffees,4,18,1520,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_caffeine | nutrition_macros | overview_general | price_value
Customer Journey,Rewards Guide,service_page,,2,23,1490,support,https://mcdomenuusa.com/rewards-guide/,overview_general | service_rewards
Breakfast,"Bacon, Egg & Cheese Bagel",product_variant,Breakfast Menu,3,10,1360,item,https://mcdomenuusa.com/menu/breakfast-menu/bacon-egg-cheese-bagel/,nutrition_macros | overview_general | price_value
McCafe Coffees,McCafe Caramel Macchiato,product_family,McCafe Coffees,4,19,1310,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_caffeine | nutrition_macros | overview_general | price_value
Breakfast,Hotcakes and Sausage,product_variant,Breakfast Menu,3,15,1220,item,https://mcdomenuusa.com/menu/breakfast-menu/hotcakes-sausage/,nutrition_macros | overview_general | price_value
Snack Wrap,Spicy Snack Wrap,product_variant,Snack Wrap,1,1,1200,item,https://mcdomenuusa.com/menu/snack-wrap/spicy-snack-wrap/,overview_general
Beverages,Reduced Sugar Low Fat Chocolate Milk,product_family,Beverages & Drinks,1,9,1180,family_section,https://mcdomenuusa.com/beverage-menu/,overview_general
Sauces & Condiments,Honey,product_variant,Sauces & Condiments,4,18,1130,item,https://mcdomenuusa.com/menu/sauces-condiments/honey/,nutrition_allergens | nutrition_ingredients | nutrition_macros | overview_general
Sauces & Condiments,Tangy Barbecue Sauce,product_variant,Sauces & Condiments,2,12,990,item,https://mcdomenuusa.com/menu/sauces-condiments/tangy-barbecue-sauce/,nutrition_allergens | nutrition_ingredients
Burgers,Burgers Menu,menu_guide,,3,12,920,guide,https://mcdomenuusa.com/burgers-menu/,overview_general | overview_menu | price_value
Value & Deals,Egg McMuffin Meal,product_variant,Extra Value Meals,3,17,890,item,https://mcdomenuusa.com/menu/extra-value-meals/egg-mcmuffin-meal/,nutrition_macros | overview_menu | price_value
McCafe Coffees,McCafe Latte,product_family,McCafe Coffees,6,16,860,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_caffeine | nutrition_ingredients | nutrition_macros | overview_general | overview_menu | price_value
Fries & Sides,Apple Slices,product_variant,Fries & Sides,3,6,840,item,https://mcdomenuusa.com/menu/fries-sides/apple-slices/,nutrition_macros | overview_general | overview_menu
McNuggets & Strips,4 pc Chicken McNuggets,product_variant,Chicken McNuggets,3,15,710,item,https://mcdomenuusa.com/menu/mcnuggets-strips/4-pc-chicken-mcnuggets/,nutrition_macros | overview_general | price_value
Sauces & Condiments,Sweet 'N Sour Sauce,product_variant,Sauces & Condiments,2,18,680,item,https://mcdomenuusa.com/menu/sauces-condiments/sweet-n-sour-sauce/,nutrition_allergens | nutrition_ingredients
Happy Meal,Hamburger Happy Meal,product_variant,Happy Meal,3,9,660,item,https://mcdomenuusa.com/menu/happy-meal/hamburger-happy-meal/,nutrition_macros | overview_menu | price_value
Burgers,Bacon Quarter Pounder with Cheese,product_variant,Burgers Menu,3,6,540,item,https://mcdomenuusa.com/menu/burgers-menu/bacon-quarter-pounder-with-cheese/,nutrition_macros | overview_general | price_value
Value & Deals,McValue Menu,menu_guide,,1,1,500,guide,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,overview_menu
Beverages,Hot Tea,product_family,Beverages & Drinks,1,6,500,family_section,https://mcdomenuusa.com/beverage-menu/,overview_general
Breakfast,"Sausage, Egg & Cheese Bagel",product_variant,Breakfast Menu,3,6,500,item,https://mcdomenuusa.com/menu/breakfast-menu/sausage-egg-cheese-bagel/,nutrition_macros | overview_general | price_value
