topical_silo,primary_entity,entity_type,parent_entity,cluster_count,keyword_count,total_volume,dominant_page_type,suggested_url,intent_mix
Sauces & Condiments,Honey Mustard Sauce,product_variant,Sauces & Condiments,1,2,70,item,https://mcdomenuusa.com/menu/sauces-condiments/honey-mustard-sauce/,nutrition_ingredients
Beverages,Soft Drink,product_family,Beverages & Drinks,2,5,50,family_section,https://mcdomenuusa.com/beverage-menu/,overview_general | price_value
McCafe Coffees,McCafe Iced French Vanilla Coffee,product_family,McCafe Coffees,1,1,40,family_section,https://mcdomenuusa.com/mccafe-menu/,overview_menu
Beverages,Sweet Tea Large,product_variant,Sweet Tea,1,1,40,item,https://mcdomenuusa.com/menu/beverages-drinks/sweet-tea-large/,nutrition_macros
McCafe Coffees,McCafe Iced Coffee Large,product_variant,McCafe Iced Coffee,1,1,40,item,https://mcdomenuusa.com/menu/mccafe-coffees/mccafe-iced-coffee-large/,nutrition_caffeine
McCafe Coffees,McCafe Caramel Frappe,product_family,McCafe Coffees,1,1,40,family_section,https://mcdomenuusa.com/mccafe-menu/,overview_general
Value & Deals,Chicken McNuggets Meal,product_family,Extra Value Meals,1,1,40,family_section,https://mcdomenuusa.com/extra-value-meals/,overview_menu
McCafe Coffees,McCafe French Vanilla Latte,product_family,McCafe Coffees,1,1,30,family_section,https://mcdomenuusa.com/mccafe-menu/,nutrition_macros
Happy Meal,4 pc McNuggets Happy Meal,product_variant,Happy Meal,1,2,30,item,https://mcdomenuusa.com/menu/happy-meal/4-pc-mcnuggets-happy-meal/,price_value
Beverages,Soft Drink Medium vs Soft Drink Small,comparison,Soft Drink,1,1,20,comparison,,comparison
McCafe Coffees,McCafe Mocha Frappe Medium vs McCafe Mocha Frappe Small,comparison,McCafe Mocha Frappe,1,1,20,comparison,,comparison
Beverages,DASANI Water,product_variant,Beverages & Drinks,1,1,20,item,https://mcdomenuusa.com/menu/beverages-drinks/dasani-water/,nutrition_macros
Customer Journey,McDonald's App Deals,service_page,,1,1,20,support,https://mcdomenuusa.com/mcdonalds-app-deals/,service_app
Geographic Pricing,Prices by State,support_page,,1,1,10,support,https://mcdomenuusa.com/mcdonalds-prices-by-state/,price_value
Value & Deals,"Bacon, Egg & Cheese McGriddles Meal",product_variant,Extra Value Meals,1,1,10,item,https://mcdomenuusa.com/menu/extra-value-meals/bacon-egg-cheese-mcgriddles-meal/,nutrition_macros
Burgers,Cheeseburger vs Double Cheeseburger,comparison,Burgers Menu,1,1,10,comparison,,comparison
Value & Deals,"Bacon, Egg & Cheese Biscuit Meal",product_variant,Extra Value Meals,1,1,10,item,https://mcdomenuusa.com/menu/extra-value-meals/bacon-egg-cheese-biscuit-meal/,nutrition_macros
